Proveedor;Plan;Precio (€/mes);Vídeo mensual (min);Streaming mensual (min);Tiene Streaming;Streaming con SDK;Traducción;Resolución ;Duración máxima vídeo;Sincronización Labial;Nº Avatares;Avatares Personales;Voces;Expresiones;Clonado de Voz;Idiomas Soportados;Entrada Alternativa;Licencia Comercial;Calidad API;Velocidad Generación
D-ID;Build;12,63;16;32;1;1;1;1;5;1;0;1;127;1;1;119;1;0;1;0
D-ID;Launch;30,71;45;90;1;1;1;1;5;1;111;3;127;1;1;119;1;1;1;1
D-ID;Scale;121,6;200;400;1;1;1;1;5;1;111;5;127;1;1;119;1;1;1;2
Synthesia;Starter;16;10;0;0;0;0;0;5;2;125;3;127;0;0;140;1;0;0;1
Synthesia;Creator;58;30;0;0;0;0;1;5;2;180;5;127;0;0;140;1;0;0;1
HeyGen;Pro;87,65;100;500;1;1;0;1;5;2;2868;3;1855;1;0;175;1;1;2;1
HeyGen;Scale;292,16;660;3300;1;1;1;2;30;2;2868;10;1855;1;0;175;1;1;2;1
Elay;Basic;20,22;15;0;0;0;1;1;5;1;80;0;450;0;0;75;1;1;2;1
Elay;Advance;51,88;100;0;0;0;1;2;30;1;80;0;450;0;0;75;1;1;2;1
Colossyan;Business;61,15;10000;0;0;0;1;1;10;1;170;10;70;0;1;70;1;1;0;1
Speechify;Genérico;0;0;0;0;0;0;0;0;0;0;0;1000;0;1;50;0;1;0;2
Tavus;Starter;51,75;10;100;1;0;0;1;20;2;25;3;25;0;1;30;0;1;1;2
Tavus;Growth;348,25;100;500;1;0;0;1;60;2;100;7;100;0;1;30;0;1;1;2
Runway;API Usage;0,22;10000;0;0;1;0;0;0,08;0;0;0;0;0;0;0;1;1;1;1
A2E;Pay as You Go;8,77;10;40;1;0;0;1;5;2;0;1;0;1;1;0;1;0;2;0
A2E;Dedicated Line;526,05;694;2777;1;0;0;1;5;2;0;3;0;1;1;0;1;1;2;1
AI Studios;Personal;21,13;10000;0;1;1;0;1;10;1;80;3;100;0;1;80;1;1;0;1
AI Studios;Equipo;158,49;10000;0;1;1;1;1;30;1;80;5;100;0;1;80;1;1;0;1
AKOOL;PRO;18,47;10;60;1;1;1;2;5;2;60;3;0;0;1;155;0;1;1;1
AKOOL;PRO MAX;69,48;40;340;1;1;1;2;5;2;60;5;0;0;1;155;0;1;1;1
AKOOL;STUDIO;307,83;200;2000;1;1;1;2;5;2;60;10;0;0;1;155;0;1;1;1
Vidnoz;PRO;69,27;250;0;0;0;0;0;5;1;50;0;0;0;1;100;1;1;0;1
Vidnoz;ESCALA;262,16;1500;0;0;0;0;0;5;1;50;0;0;0;1;100;1;1;0;1
Pipio;PRO;14,06;10;0;0;0;1;1;5;1;60;2;140;0;1;40;1;1;0;1
Pipio;TEAM;505,11;500;0;0;0;1;2;5;1;60;2;140;0;1;40;1;1;0;2
Creatify;PRO;42,97;20;0;0;0;0;2;10;1;700;3;170;0;0;29;1;1;1;2
